Start IP,End IP,Country Code,Country,Region,City,CIDR
14.1.104.0,14.1.105.255,PK,Pakistan,Punjab,Lahore,14.1.104.0/23
14.1.106.0,14.1.106.255,PK,Pakistan,Sindh,Karachi,14.1.106.0/24
14.1.107.0,14.1.107.255,PK,Pakistan,Punjab,Tandlianwala,14.1.107.0/24
14.192.128.0,14.192.129.255,PK,Pakistan,Sindh,Karachi,14.192.128.0/23
14.192.130.0,14.192.130.255,PK,Pakistan,Punjab,Lahore,14.192.130.0/24
14.192.131.0,14.192.131.255,PK,Pakistan,Sindh,Karachi,14.192.131.0/24
14.192.132.0,14.192.132.255,PK,Pakistan,Punjab,Lahore,14.192.132.0/24
14.192.133.0,14.192.133.255,PK,Pakistan,Khyber Pakhtunkhwa,Bat Khela,14.192.133.0/24
14.192.134.0,14.192.136.255,PK,Pakistan,Punjab,Lahore,14.192.134.0/23
14.192.137.0,14.192.137.255,PK,Pakistan,Punjab,Data,14.192.137.0/24
14.192.138.0,14.192.139.255,PK,Pakistan,Punjab,Lahore,14.192.138.0/23
14.192.140.0,14.192.159.255,PK,Pakistan,Sindh,Karachi,14.192.140.0/22
27.0.184.0,27.0.187.255,PK,Pakistan,Sindh,Karachi,27.0.184.0/22
27.54.120.0,27.54.122.255,PK,Pakistan,Azad Jammu and Kashmir,New Mirpur,27.54.120.0/23
27.54.123.0,27.54.123.255,PK,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,27.54.123.0/24
27.96.92.0,27.96.95.255,PK,Pakistan,Sindh,Karachi,27.96.92.0/22
34.98.208.0,34.98.211.255,PK,Pakistan,Sindh,Karachi,34.98.208.0/22
34.98.212.0,34.98.215.255,PK,Pakistan,Punjab,Lahore,34.98.212.0/22
34.100.112.0,34.100.113.255,PK,Pakistan,Sindh,Karachi,34.100.112.0/23
34.100.114.0,34.100.115.255,PK,Pakistan,Punjab,Lahore,34.100.114.0/23
34.100.117.0,34.100.117.255,PK,Pakistan,Punjab,Lahore,34.100.117.0/24
34.124.67.0,34.124.67.255,PK,Pakistan,Sindh,Karachi,34.124.67.0/24
36.50.12.0,36.50.13.255,PK,Pakistan,Islamabad,Islamabad,36.50.12.0/23
36.50.72.0,36.50.73.255,PK,Pakistan,Punjab,Faisalabad,36.50.72.0/23
36.50.76.0,36.50.76.255,PK,Pakistan,-,-,36.50.76.0/24
36.255.32.0,36.255.32.255,PK,Pakistan,Sindh,Karachi,36.255.32.0/24
36.255.33.0,36.255.33.255,PK,Pakistan,Punjab,Dhaunkal,36.255.33.0/24
36.255.34.0,36.255.35.255,PK,Pakistan,Sindh,Karachi,36.255.34.0/23
36.255.40.0,36.255.40.255,PK,Pakistan,Punjab,Qadirpur Ran,36.255.40.0/24
36.255.41.0,36.255.47.255,PK,Pakistan,Sindh,Karachi,36.255.41.0/24
36.255.100.0,36.255.103.255,PK,Pakistan,Punjab,Lahore,36.255.100.0/22
36.255.214.0,36.255.214.255,PK,Pakistan,Sindh,Karachi,36.255.214.0/24
37.111.128.0,37.111.128.255,PK,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,37.111.128.0/24
37.111.129.0,37.111.129.255,PK,Pakistan,Punjab,Khurrianwala,37.111.129.0/24
37.111.130.0,37.111.130.255,PK,Pakistan,Punjab,Dinga,37.111.130.0/24
37.111.131.0,37.111.133.255,PK,Pakistan,Islamabad,Islamabad,37.111.131.0/24
37.111.134.0,37.111.134.255,PK,Pakistan,Punjab,Khurrianwala,37.111.134.0/24
37.111.135.0,37.111.135.255,PK,Pakistan,Punjab,Faisalabad,37.111.135.0/24
37.111.136.0,37.111.136.255,PK,Pakistan,Sindh,Mirpur Sakro,37.111.136.0/24
37.111.137.0,37.111.137.255,PK,Pakistan,Khyber Pakhtunkhwa,Swabi,37.111.137.0/24
37.111.138.0,37.111.138.255,PK,Pakistan,Punjab,Multan,37.111.138.0/24
37.111.139.0,37.111.139.255,PK,Pakistan,Sindh,Badin,37.111.139.0/24
37.111.140.0,37.111.140.255,PK,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,37.111.140.0/24
37.111.141.0,37.111.141.255,PK,Pakistan,Punjab,Baddomalhi,37.111.141.0/24
37.111.142.0,37.111.142.255,PK,Pakistan,Punjab,Ahmadpur East,37.111.142.0/24
37.111.143.0,37.111.143.255,PK,Pakistan,Punjab,Khurrianwala,37.111.143.0/24
37.111.144.0,37.111.145.255,PK,Pakistan,Punjab,Faisalabad,37.111.144.0/23
37.111.146.0,37.111.146.255,PK,Pakistan,Punjab,Malakwal,37.111.146.0/24
37.111.147.0,37.111.147.255,PK,Pakistan,Punjab,Multan,37.111.147.0/24
37.111.148.0,37.111.148.255,PK,Pakistan,Punjab,Malakwal,37.111.148.0/24
37.111.149.0,37.111.149.255,PK,Pakistan,Punjab,Pindi Bhattian,37.111.149.0/24
37.111.150.0,37.111.150.255,PK,Pakistan,Punjab,Kalaswala,37.111.150.0/24
37.111.151.0,37.111.151.255,PK,Pakistan,Punjab,Mandi Bahauddin,37.111.151.0/24
37.111.152.0,37.111.153.255,PK,Pakistan,Islamabad,Islamabad,37.111.152.0/23
37.111.154.0,37.111.154.255,PK,Pakistan,Punjab,Kot Radha Kishan,37.111.154.0/24
37.111.155.0,37.111.155.255,PK,Pakistan,Punjab,Kamoke,37.111.155.0/24
37.111.156.0,37.111.156.255,PK,Pakistan,Punjab,Khurrianwala,37.111.156.0/24
37.111.157.0,37.111.157.255,PK,Pakistan,Punjab,Jaranwala,37.111.157.0/24
37.111.158.0,37.111.158.255,PK,Pakistan,Sindh,Mithi,37.111.158.0/24
37.111.159.0,37.111.159.255,PK,Pakistan,Punjab,Burewala,37.111.159.0/24
37.111.160.0,37.111.162.255,PK,Pakistan,Islamabad,Islamabad,37.111.160.0/23
37.111.163.0,37.111.163.255,PK,Pakistan,Sindh,Kario,37.111.163.0/24
37.111.164.0,37.111.164.255,PK,Pakistan,Sindh,Shahdadpur,37.111.164.0/24
37.111.165.0,37.111.165.255,PK,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,37.111.165.0/24
37.111.166.0,37.111.166.255,PK,Pakistan,Sindh,Islamkot,37.111.166.0/24
37.111.167.0,37.111.167.255,PK,Pakistan,Punjab,Lahore,37.111.167.0/24
37.111.168.0,37.111.168.255,PK,Pakistan,Islamabad,Islamabad,37.111.168.0/24
37.111.169.0,37.111.170.255,PK,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,37.111.169.0/24
37.111.171.0,37.111.171.255,PK,Pakistan,Punjab,Daultala,37.111.171.0/24
37.111.172.0,37.111.172.255,PK,Pakistan,Punjab,Jhang Sadr,37.111.172.0/24
37.111.173.0,37.111.173.255,PK,Pakistan,Punjab,Daultala,37.111.173.0/24
37.111.174.0,37.111.174.255,PK,Pakistan,Sindh,Tando Muhammad Khan,37.111.174.0/24
37.111.175.0,37.111.175.255,PK,Pakistan,Sindh,Badin,37.111.175.0/24
37.111.176.0,37.111.176.255,PK,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,37.111.176.0/24
37.111.177.0,37.111.178.255,PK,Pakistan,Islamabad,Islamabad,37.111.177.0/24
