radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,410,3,54403,24103,0,71.4399,30.0949,5763,24,1,1351135295,1683529317,0
GSM,410,3,54403,25007,0,71.4461,30.1079,2470,35,1,1351135295,1683529396,0
GSM,410,3,51133,34150,0,70.9204,28.8911,5994,7,1,1362234089,1674416293,0
GSM,410,3,51114,31242,0,68.7172,27.495,4874,16,1,1366228403,1674397875,0
GSM,410,3,54430,34605,0,71.6266,29.3667,5490,36,1,1387080830,1674420263,0
UMTS,410,3,32001,1004085,84,73.0441,33.6598,5500,200,1,1458499217,1677750079,0
LTE,410,4,5033,2051331,0,73.0643,33.6627,1000,7,1,1458601626,1676970921,0
LTE,410,4,40001,1898241,0,74.3431,31.5162,1000,10,1,1458601627,1683191306,0
LTE,410,4,5044,2419458,0,73.0596,33.6273,1000,4,1,1458601627,1676972787,0
LTE,410,4,5033,2485251,0,73.05,33.6446,1000,8,1,1450272321,1682056147,0
LTE,410,4,5042,2322689,0,73.0782,33.6423,1000,2,1,1451377347,1676971533,0
LTE,410,4,5044,2419457,0,73.0617,33.628,1000,7,1,1458601627,1676972767,0
LTE,410,4,40001,1896962,0,74.3499,31.5265,1000,7,1,1458601627,1683083553,0
LTE,410,4,5031,2057729,0,72.946,33.6326,1000,18,1,1458601625,1688604610,0
LTE,410,4,5031,2556674,0,72.9173,33.6176,1000,12,1,1446983782,1687777994,0
LTE,410,4,5033,2118659,0,73.074,33.6568,1000,11,1,1455100965,1676971127,0
LTE,410,4,5042,2557442,0,73.0752,33.6371,1000,8,1,1458601626,1676971637,0
LTE,410,4,5042,2322691,0,73.0765,33.6445,1230,7,1,1458601626,1676971579,0
LTE,410,4,5043,2258433,0,73.0801,33.5651,1000,42,1,1451813524,1685173899,0
LTE,410,4,5042,2049283,0,73.0739,33.6362,1000,9,1,1458601626,1699353241,0
LTE,410,4,5044,2084098,0,73.0673,33.6224,1000,3,1,1458601627,1676972314,0
