radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,created_date,updated_date
GSM,410,3,51114,31242,0,68.7172,27.495,4874,16,1,1366228403,1674397875,0,2013-04-17 19:53:23,2023-01-22 14:31:15
UMTS,410,1,3289,26441972,479,70.302,28.4216,1000,9,1,1458635303,1674411588,0,2016-03-22 08:28:23,2023-01-22 18:19:48
UMTS,410,1,3321,26444860,387,70.1287,28.3027,1000,12,1,1458635304,1674410523,0,2016-03-22 08:28:24,2023-01-22 18:02:03
UMTS,410,3,31003,228711,0,67.0002,24.8474,1000,3,1,1458655407,1682574198,0,2016-03-22 14:03:27,2023-04-27 05:43:18
UMTS,410,6,2035,8576693,0,67.9121,24.7474,2240,4,1,1451211361,1674720160,0,2015-12-27 10:16:01,2023-01-26 08:02:40
GSM,410,3,51114,31682,0,68.6187,27.4078,4772,51,1,1449088817,1674397305,0,2015-12-02 20:40:17,2023-01-22 14:21:45
GSM,410,3,51114,39886,0,68.7212,27.4999,10193,12,1,1449088814,1674397875,0,2015-12-02 20:40:14,2023-01-22 14:31:15
GSM,410,3,51114,31246,0,68.6958,27.4689,3859,111,1,1449088814,1674397875,0,2015-12-02 20:40:14,2023-01-22 14:31:15
GSM,410,3,51114,29757,0,68.6347,27.431,14848,5,1,1449088817,1674397205,0,2015-12-02 20:40:17,2023-01-22 14:20:05
GSM,410,3,51114,36510,0,68.6652,27.4435,5808,47,1,1449088817,1674397594,0,2015-12-02 20:40:17,2023-01-22 14:26:34
GSM,410,3,51114,31247,0,68.6774,27.4532,5665,156,1,1449088817,1674397845,0,2015-12-02 20:40:17,2023-01-22 14:30:45
GSM,410,3,51114,11674,0,68.5805,27.3826,7557,17,1,1449088817,1674397033,0,2015-12-02 20:40:17,2023-01-22 14:17:13
GSM,410,3,51114,19708,0,68.5967,27.3973,21436,25,1,1435880176,1674397133,0,2015-07-02 23:36:16,2023-01-22 14:18:53
GSM,410,3,51114,11675,0,68.596,27.3908,10525,31,1,1449088814,1674397133,0,2015-12-02 20:40:14,2023-01-22 14:18:53
GSM,410,3,51114,11247,0,68.712,27.4924,14778,28,1,1449088814,1674397875,0,2015-12-02 20:40:14,2023-01-22 14:31:15
GSM,410,3,51114,11277,0,68.6727,27.4493,6099,167,1,1449088817,1674397815,0,2015-12-02 20:40:17,2023-01-22 14:30:15
GSM,410,3,51114,19745,0,68.6281,27.4146,6101,93,1,1449088814,1674397455,0,2015-12-02 20:40:14,2023-01-22 14:24:15
GSM,410,3,51114,31248,0,68.6743,27.4504,5307,154,1,1449088814,1674397815,0,2015-12-02 20:40:14,2023-01-22 14:30:15
GSM,410,3,51118,22141,0,70.1697,28.3444,5865,11,1,1458904365,1674410843,0,2016-03-25 11:12:45,2023-01-22 18:07:23
GSM,410,3,51114,11248,0,68.7057,27.4795,4667,30,1,1458904362,1674397833,0,2016-03-25 11:12:42,2023-01-22 14:30:33
GSM,410,3,51116,31625,0,69.5844,28.0317,18513,6,1,1449088803,1674407752,0,2015-12-02 20:40:03,2023-01-22 17:15:52
GSM,410,3,51114,21682,0,68.6384,27.4229,4132,30,1,1449088817,1674397434,0,2015-12-02 20:40:17,2023-01-22 14:23:54
